Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-11-25 15:26:37.143 +0530,"Aborted",0:00:58,1,0,1,"20241125_152637.143/LogFile.txt","","",0
2024-11-25 15:28:09.449 +0530,"Aborted",0:02:02,3,0,1,"20241125_152809.449/LogFile.txt","","",1
2024-11-25 15:30:23.049 +0530,"Aborted",0:04:57,1,0,0,"20241125_153023.049/LogFile.txt","","",2
2024-11-26 09:38:38.435 +0530,"Aborted",0:01:35,1,0,0,"20241126_093838.435/LogFile.txt","","",1
2024-11-26 09:40:21.321 +0530,"Aborted",0:01:20,1,0,1,"20241126_094021.321/LogFile.txt","","",2
2024-11-26 13:20:34.535 +0530,"Aborted",0:05:05,1,0,0,"20241126_132034.535/LogFile.txt","","",2
2024-11-26 14:05:37.517 +0530,"Aborted",0:03:21,1,0,0,"20241126_140537.517/LogFile.txt","","",2
2024-11-26 14:08:59.743 +0530,"Aborted",0:00:00,1,0,1,"20241126_140859.743/LogFile.txt","","",0
2024-11-26 15:20:46.388 +0530,"Aborted",0:00:12,1,0,0,"20241126_152046.388/LogFile.txt","","",0
2024-11-26 15:21:04.198 +0530,"Aborted",0:01:40,1,0,0,"20241126_152104.198/LogFile.txt","","",2
2024-11-26 15:37:11.746 +0530,"Failure",0:00:00,3,0,1,"20241126_153711.746/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'MIL/Cleanup'.",0
2024-11-26 15:38:11.181 +0530,"Failure",0:00:00,3,0,1,"20241126_153811.181/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'MIL/Cleanup'.",0
2024-11-26 15:38:56.549 +0530,"Failure",0:00:00,3,0,1,"20241126_153856.549/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'MIL/Cleanup'.",0
2024-11-26 15:42:28.987 +0530,"Aborted",0:00:04,3,0,1,"20241126_154228.987/LogFile.txt","","",0
2024-11-26 15:44:08.055 +0530,"Aborted",0:00:04,3,0,2,"20241126_154408.055/LogFile.txt","","",0
2024-11-26 15:46:36.435 +0530,"Aborted",0:41:29,1,2,0,"20241126_154636.435/LogFile.txt","","",5
2024-11-26 16:29:44.776 +0530,"Aborted",0:01:00,1,0,0,"20241126_162944.776/LogFile.txt","","",2
2024-11-26 16:34:08.859 +0530,"Aborted",0:04:26,1,0,0,"20241126_163408.859/LogFile.txt","","",2
2024-11-26 16:41:27.966 +0530,"Aborted",0:02:35,3,0,1,"20241126_164127.966/LogFile.txt","","",3
2024-11-26 16:46:42.341 +0530,"Aborted",0:07:21,3,0,1,"20241126_164642.341/LogFile.txt","","",3
2024-12-12 11:42:49.309 +0530,"Aborted",0:03:04,1,0,1,"20241212_114249.309/LogFile.txt","","",0
2024-12-12 11:46:33.153 +0530,"Aborted",0:01:51,1,0,1,"20241212_114633.153/LogFile.txt","","",0
2024-12-12 11:49:09.692 +0530,"Aborted",0:01:31,3,0,2,"20241212_114909.692/LogFile.txt","","",1
