Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-12-18 10:47:53.594 +0530,"Success",0:05:19,0,3,0,"20241218_104753.594/LogFile.txt","","",1
2024-12-18 12:55:22.659 +0530,"Aborted",0:00:12,1,0,0,"20241218_125522.659/LogFile.txt","","",0
2024-12-30 10:03:04.245 +0530,"Aborted",0:00:11,1,0,0,"20241230_100304.245/LogFile.txt","","",0
2024-12-30 10:08:14.728 +0530,"Aborted",0:00:10,1,0,0,"20241230_100814.728/LogFile.txt","","",0
2024-12-30 10:08:56.196 +0530,"Aborted",0:04:18,1,1,0,"20241230_100856.196/LogFile.txt","","",0
2024-12-30 10:13:15.508 +0530,"Aborted",0:00:13,3,0,1,"20241230_101315.508/LogFile.txt","","",0
2024-12-30 10:14:11.516 +0530,"Success",0:22:22,0,14,0,"20241230_101411.516/LogFile.txt","","",1
2024-12-30 10:40:45.953 +0530,"Failure",0:00:00,1,0,0,"20241230_104045.953/LogFile.txt","","Invalid JSON -- Can't get value of JSON expression",0
2024-12-30 10:43:23.529 +0530,"Aborted",0:00:23,1,0,0,"20241230_104323.529/LogFile.txt","","",0
2024-12-30 10:44:06.615 +0530,"Aborted",0:04:26,1,1,0,"20241230_104406.615/LogFile.txt","","",0
2024-12-30 10:50:08.649 +0530,"Success",0:08:14,0,5,0,"20241230_105008.649/LogFile.txt","","",1
